"County","2021","2022","2023","2024","2025,"2026","2027","2028","2029","2030"
MONO,89.99764401721768,89.67033050674945,89.30551752237079,88.9032050640526,88.46339313182398,87.98608172565582,87.47127084559179,86.91896049157367,86.32915066365968,85.7018413617916,
MONTEREY,671.2628602907062,662.1206227219664,652.2433945429511,641.6311757541262,630.2839663547929,618.2017663454171,605.3845757257659,591.8323944958393,577.54522265587,562.5230602056254,
NAPA,368.11458968988154,365.6186554215383,362.7885363640962,359.6242325173225,356.1257438812172,352.29307045566384,348.12621224089526,343.62516923691146,338.78994144359604,333.62052886083256,
NEVADA,461.73289504254353,464.9063651356555,467.96638045232976,470.9129409926245,473.7460467564524,476.4656977438717,479.0718939548533,481.56463538948447,483.9439220476197,486.20975392937544,
ORANGE,7133.139813480899,7138.880202918313,7140.677831378765,7138.532698863186,7132.444805371575,7122.414150903001,7108.440735459328,7090.524559036829,7068.665621640161,7042.86392326653,
PLACER,1519.2393686836585,1529.057065823581,1537.6161970426328,1544.9167623417452,1550.9587617204525,1555.7421951787546,1559.2670627171174,1561.533364335075,1562.5411000326276,1562.2902698102407,
PLUMAS,95.96030721347779,95.44988798334089,94.90014178642014,94.31106862273009,93.6826684922562,93.01494139501301,92.30788733097143,91.56150630016054,90.77579830255127,89.95076333817269,
RIVERSIDE,8259.232502755302,8419.895483751374,8580.479203210387,8740.98366113234,8901.408857517177,9061.754792364896,9222.021465675498,9382.208877449099,9542.317027685582,9702.345916384947,
SACRAMENTO,4971.993530527223,4990.172394709196,5006.401127701625,5020.679729504511,5033.0082001178525,5043.386539541651,5051.814747775905,5058.292824820615,5062.820770676248,5065.398585342336,
SAN BENITO,125.76310219569132,125.34943235508399,124.79109241819242,124.08808238507481,123.24040225573117,122.24805203010328,121.11103170836577,119.82934129034402,118.40298077603802,116.8319501655642,
SAN BERNARDINO,5617.146519728471,5706.422573875636,5797.049914494157,5889.028541583568,5982.358455143403,6077.039655174129,6173.072141675744,6270.45591464825,6369.19097409118,6469.277320005465,
SAN DIEGO,6973.233166669495,6980.983706574887,6984.792933611199,6984.660847778432,6980.587449075654,6972.572737503797,6960.616713063791,6944.719375753775,6924.88072557468,6901.100762525573,
SAN FRANCISCO,1480.6477380560245,1475.9884053098504,1470.453849441139,1464.0440704498906,1456.7590683358721,1448.5988430993166,1439.5633947402239,1429.652723258594,1418.8668286541943,1407.2057109272573,
SAN JOAQUIN,1942.9380986480974,1960.1307334662415,1976.722119927872,1992.7122580334544,2008.101147782756,2022.8887891760096,2037.0751822132152,2050.660326893907,2063.644223218551,2076.0268711871468,
SAN LUIS OBISPO,639.0396097542252,632.9397296658717,626.0821636845358,618.4669118102174,610.0939740426838,600.9633503817022,591.075040827971,580.4290453807916,569.0253640403971,556.8639968070202,
SAN MATEO,1518.1340701705776,1506.1238647866994,1493.0485658133402,1478.9081732500345,1463.702687096782,1447.4321073531173,1430.0964340190403,1411.6956670954823,1392.229806581512,1371.6988524775952,
SANTA BARBARA,777.3677991062868,770.9710078439675,763.8645656029694,756.0484723832924,747.5227281856351,738.2873330092989,728.3422868547495,717.6875897212885,706.3232416096143,694.2492425194941,
SANTA CLARA,3951.8208148265257,3935.4204020164907,3916.228861618787,3894.2461936324835,3869.472398060374,3841.9074748996645,3811.5514241512865,3778.40424581524,3742.465939892456,3703.736506381072,
SANTA CRUZ,542.4999284928199,535.7665348688606,528.5056523857638,520.7172810432967,512.401420841692,503.558071780717,494.1872338608373,484.28890708158724,473.86309144319966,462.90978694544174,
SHASTA,751.1772928849095,750.3305083169835,749.0642442682292,747.3785007388797,745.2732777285855,742.7485752375796,739.8043932657456,736.4407318130834,732.6575908797095,728.4549704656238,
SIERRA,12.586523576173931,12.23916180114611,11.868371948352433,11.474154017792898,11.056508009474783,10.615433923398086,10.150931759548257,9.663001517939847,9.15164319856558,8.616856801432732,
SISKIYOU,220.9242337559699,218.83041027275613,216.58281876519322,214.181459233223,211.62633167678723,208.91743609600235,206.05477249081014,203.0383408612688,199.86814120726194,196.54417352884775,
SOLANO,1078.8874644038733,1080.3380616011564,1081.1827563806437,1081.4215487421025,1081.0544386859983,1080.0814262118656,1078.5025113199372,1076.3176940104458,1073.5269742826931,1070.1303521371447,
SONOMA,1306.228749084752,1300.3861921317875,1293.438436883036,1285.385483338032,1276.2273314977065,1265.9639813611284,1254.5954329296947,1242.1216862015426,1228.542741178535,1213.8585978597403,
STANISLAUS,1874.1855744940694,1888.1512726349756,1901.5878645062912,1914.4953501073178,1926.873729438521,1938.723002499668,1950.0431692907587,1960.8342298115604,1971.0961840627715,1980.8290320434608,
SUTTER,295.7756727284286,297.38350390733103,298.87071485296474,300.23730556530063,301.4832760443387,302.608626290079,303.6133563025505,304.49746608172427,305.2609556276293,305.9038249402074,
TEHAMA,248.1756555525062,249.4651109726692,250.66668601310812,251.78038067385205,252.8061949548719,253.74412885616766,254.59418237776845,255.35635551964515,256.03064828176866,256.6170606641972,
TRINITY,15.633949968818342,16.914099133515265,18.284847863775212,19.746196159539977,21.29814402089687,22.940691447787685,24.67383844027063,26.497584998287493,28.411931121809175,30.41687681095209,
TULARE,1382.3500622652791,1403.5852483573544,1424.9022844234714,1446.3011704636301,1467.7819064778741,1489.3444924661308,1510.9889284284873,1532.7152143648855,1554.5233502753108,1576.4133361598215,
TUOLUMNE,210.91031958459644,209.21358585270355,207.3406013516942,205.29136608168483,203.0658800425008,200.6641432342003,198.0861556568998,195.33191731048282,192.4014281950076,189.29468831035774,
VENTURA,1898.8556743077934,1898.740752944257,1897.3298911475576,1894.6230889172293,1890.6203462542035,1885.3216631575488,1878.7270396277308,1870.836475664284,1861.6499712681398,1851.1675264383666,
YOLO,547.7753018314252,550.2953765052371,552.5536364762811,554.5500817446737,556.2847123106476,557.7575281738536,558.9685293344082,559.9177157923114,560.6050875476794,561.0306446001632,
YUBA,246.271305887989,251.11909914194257,256.0368391307711,261.02452585447463,266.0821593130531,271.2097395064775,276.40726643480593,281.67474009800935,287.01216049605864,292.4195276289538,
